Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.0,0.0,0.0
7z,solverBased,0.001,0.24,0.45190173942198886
7z,solverBased,0.002,0.32,0.6997691514516922
7z,solverBased,0.003,0.34,0.8356422658895719
7z,solverBased,0.004,0.4,0.9100787381513464
7z,solverBased,0.005,0.41,0.9508332470005116
7z,solverBased,0.006,0.47,0.9731331331631784
7z,solverBased,0.007,0.49,0.9853276950194682
7z,solverBased,0.008,0.49,0.9919921677905597
7z,solverBased,0.009,0.49,0.9956321637768457
7z,solverBased,0.01,0.5,0.997619040801602
7z,solverBased,0.011,0.5,0.9987029065988455
7z,solverBased,0.012,0.5,0.9992938065304313
7z,solverBased,0.013,0.5,0.999615754531509
7z,solverBased,0.014,0.5,0.9997910579363992
7z,solverBased,0.015,0.5,0.9998864532968113
7z,solverBased,0.016,0.5,0.9999383328102933
7z,solverBased,0.017,0.5,0.9999665293445531
7z,solverBased,0.018,0.5,0.9999818446694695
7z,solverBased,0.019,0.5,0.9999901582249261
7z,solverBased,0.02,0.5,0.9999946682289628
7z,solverBased,0.021,0.5,0.99999711332578
7z,solverBased,0.022,0.5,0.9999984381053858
7z,solverBased,0.023,0.5,0.9999991554355536
7z,solverBased,0.024,0.5,0.9999995436054836
7z,solverBased,0.025,0.5,0.9999997535243419
7z,solverBased,0.026,0.5,0.9999998669750563
7z,solverBased,0.027,0.5,0.9999999282508102
7z,solverBased,0.028,0.5,0.9999999613254543
7z,solverBased,0.029,0.5,0.9999999791667429
7z,solverBased,0.03,0.5,0.9999999887846639
7z,solverBased,0.031,0.5,0.9999999939662125
7z,solverBased,0.032,0.5,0.9999999967559335
7z,solverBased,0.033,0.5,0.9999999982569456
7z,solverBased,0.034,0.52,0.9999999990640493
7z,solverBased,0.035,0.52,0.9999999994977553
7z,solverBased,0.036,0.53,0.9999999997306621
7z,solverBased,0.037,0.53,0.999999999855656
7z,solverBased,0.038,0.53,0.9999999999226931
7z,solverBased,0.039,0.54,0.9999999999586233
7z,solverBased,0.04,0.54,0.9999999999778685
7z,solverBased,0.041,0.54,0.99999999998817
7z,solverBased,0.042,0.54,0.9999999999936807
7z,solverBased,0.043,0.54,0.9999999999966266
7z,solverBased,0.044,0.54,0.9999999999982003
7z,solverBased,0.045,0.54,0.9999999999990405
7z,solverBased,0.046,0.54,0.9999999999994889
7z,solverBased,0.047,0.54,0.9999999999997279
7z,solverBased,0.048,0.54,0.9999999999998552
7z,solverBased,0.049,0.55,0.999999999999923
7z,solverBased,0.05,0.55,0.999999999999959
7z,solverBased,0.051,0.55,0.9999999999999782
7z,solverBased,0.052,0.55,0.9999999999999885
7z,solverBased,0.053,0.55,0.9999999999999939
7z,solverBased,0.054,0.55,0.9999999999999968
7z,solverBased,0.055,0.55,0.9999999999999983
7z,solverBased,0.056,0.55,0.9999999999999991
7z,solverBased,0.057,0.55,0.9999999999999996
7z,solverBased,0.058,0.55,0.9999999999999998
7z,solverBased,0.059,0.55,0.9999999999999999
7z,solverBased,0.06,0.55,0.9999999999999999
7z,solverBased,0.061,0.55,1.0
7z,solverBased,0.062,0.55,1.0
7z,solverBased,0.063,0.55,1.0
7z,solverBased,0.064,0.55,1.0
7z,solverBased,0.065,0.55,1.0
7z,solverBased,0.066,0.55,1.0
7z,solverBased,0.067,0.57,1.0
7z,solverBased,0.068,0.61,1.0
7z,solverBased,0.069,0.66,1.0
7z,solverBased,0.07,0.68,1.0
7z,solverBased,0.071,0.7,1.0
7z,solverBased,0.072,0.7,1.0
7z,solverBased,0.073,0.74,1.0
7z,solverBased,0.074,0.74,1.0
7z,solverBased,0.075,0.74,1.0
7z,solverBased,0.076,0.74,1.0
7z,solverBased,0.077,0.74,1.0
7z,solverBased,0.078,0.76,1.0
7z,solverBased,0.079,0.77,1.0
7z,solverBased,0.08,0.77,1.0
7z,solverBased,0.081,0.83,1.0
7z,solverBased,0.082,0.83,1.0
7z,solverBased,0.083,0.83,1.0
7z,solverBased,0.084,0.83,1.0
7z,solverBased,0.085,0.83,1.0
7z,solverBased,0.086,0.83,1.0
7z,solverBased,0.087,0.83,1.0
7z,solverBased,0.088,0.83,1.0
7z,solverBased,0.089,0.83,1.0
7z,solverBased,0.09,0.83,1.0
7z,solverBased,0.091,0.83,1.0
7z,solverBased,0.092,0.83,1.0
7z,solverBased,0.093,0.83,1.0
7z,solverBased,0.094,0.88,1.0
7z,solverBased,0.095,0.88,1.0
7z,solverBased,0.096,0.88,1.0
7z,solverBased,0.097,0.88,1.0
7z,solverBased,0.098,0.88,1.0
7z,solverBased,0.099,0.9,1.0
7z,solverBased,0.1,0.91,1.0
7z,solverBased,0.101,0.91,1.0
7z,solverBased,0.102,0.91,1.0
7z,solverBased,0.103,0.91,1.0
7z,solverBased,0.104,0.93,1.0
7z,solverBased,0.105,0.93,1.0
7z,solverBased,0.106,0.93,1.0
7z,solverBased,0.107,0.93,1.0
7z,solverBased,0.108,0.93,1.0
7z,solverBased,0.109,0.93,1.0
7z,solverBased,0.11,0.93,1.0
7z,solverBased,0.111,0.94,1.0
7z,solverBased,0.112,0.98,1.0
7z,solverBased,0.113,0.98,1.0
7z,solverBased,0.114,0.98,1.0
7z,solverBased,0.115,0.98,1.0
7z,solverBased,0.116,0.98,1.0
7z,solverBased,0.117,0.98,1.0
7z,solverBased,0.118,0.98,1.0
7z,solverBased,0.119,0.98,1.0
7z,solverBased,0.12,0.98,1.0
7z,solverBased,0.121,0.98,1.0
7z,solverBased,0.122,0.98,1.0
7z,solverBased,0.123,0.98,1.0
7z,solverBased,0.124,0.99,1.0
7z,solverBased,0.125,0.99,1.0
7z,solverBased,0.126,0.99,1.0
7z,solverBased,0.127,0.99,1.0
7z,solverBased,0.128,0.99,1.0
